city,ecar_stock,cab_cars,private_cars,tam_mwh_per_year,sam_private_mwh,sam_cab_mwh,sam_mwh_per_year,sam_share_of_tam_pct,cab_share_of_sam_pct,fast_stations,sam_kwh_per_station_per_day
Delhi,45435.7,6815.4,38620.3,80425.7,4464.5,10734.2,15198.7,18.9,70.6,399.0,104.4
Hyderabad,41976.5,6296.5,35680.1,74302.7,4124.6,9917.0,14041.6,18.9,70.6,372.6,103.2
